date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2016/6/15,2016-12,9600,put,1490,1490,1490,1490,1410,1,2,Wednesday
2016/6/15,2016-12,9800,call,12.5,15,12.5,13,14,52,2534,Wednesday
2016/6/15,2016-12,9800,put,0,0,0,0,1600,0,2,Wednesday
2016/6/15,2016-12,1e4,call,6,9.3,4.5,9.3,9.3,24,2650,Wednesday
2016/6/15,2016-12,1e4,put,0,0,0,0,1800,0,31,Wednesday
2016/6/15,2016-12,10400,call,3.5,3.9,3.5,3.9,3.9,14,1191,Wednesday
2016/6/15,2016-12,10400,put,0,0,0,0,2190,0,1,Wednesday
2016/6/15,2016-12,10800,call,0,0,0,0,1.8,0,1633,Wednesday
2016/6/15,2016-12,10800,put,0,0,0,0,2590,0,0,Wednesday
2016/6/16,2016-09,6e3,call,0,0,0,0,2120,0,1,Thursday
2016/6/16,2016-09,6e3,put,6.9,10.5,6.7,7.2,7.2,379,11488,Thursday
2016/6/16,2016-09,6100,call,0,0,0,0,2020,0,0,Thursday
2016/6/16,2016-09,6100,put,10.5,12,10.5,11,11,11,11,Thursday
2016/6/16,2016-09,6200,call,0,0,0,0,1920,0,4,Thursday
2016/6/16,2016-09,6200,put,10.5,14,10.5,13,13,15,2051,Thursday
2016/6/16,2016-09,6300,call,0,0,0,0,1830,0,0,Thursday
2016/6/16,2016-09,6300,put,0,0,0,0,17,0,0,Thursday
2016/6/16,2016-09,6400,call,1730,1730,1710,1710,1730,2,74,Thursday
2016/6/16,2016-09,6400,put,16,20.5,16,18.5,18.5,85,2722,Thursday
2016/6/16,2016-09,6500,call,0,0,0,0,1640,0,0,Thursday
2016/6/16,2016-09,6500,put,19.5,23.5,18.5,23.5,23.5,35,28,Thursday
2016/6/16,2016-09,6600,call,0,0,0,0,1540,0,20,Thursday
2016/6/16,2016-09,6600,put,19,27,19,24.5,24.5,328,2000,Thursday
2016/6/16,2016-09,6700,call,0,0,0,0,1440,0,0,Thursday
2016/6/16,2016-09,6700,put,24,31,23.5,30,30,78,77,Thursday
2016/6/16,2016-09,6800,call,0,0,0,0,1350,0,48,Thursday
2016/6/16,2016-09,6800,put,30,37.5,30,36,36,355,4972,Thursday
2016/6/16,2016-09,6900,call,0,0,0,0,1260,0,0,Thursday
2016/6/16,2016-09,6900,put,34,43,34,43,43,15,15,Thursday
2016/6/16,2016-09,7e3,call,0,0,0,0,1160,0,52,Thursday
2016/6/16,2016-09,7e3,put,37.5,52,37.5,50,50,503,3896,Thursday
2016/6/16,2016-09,7100,call,0,0,0,0,1070,0,0,Thursday
2016/6/16,2016-09,7100,put,44.5,60,44.5,59,59,36,34,Thursday
2016/6/16,2016-09,7200,call,980,980,970,970,985,2,87,Thursday
2016/6/16,2016-09,7200,put,54,72,54,70,70,776,3481,Thursday
2016/6/16,2016-09,7300,call,0,0,0,0,895,0,0,Thursday
2016/6/16,2016-09,7300,put,63,84,63,82,82,145,144,Thursday
2016/6/16,2016-09,7400,call,825,825,825,825,810,1,110,Thursday
2016/6/16,2016-09,7400,put,78,100,77,96,96,185,2563,Thursday
2016/6/16,2016-09,7500,call,0,0,0,0,725,0,0,Thursday
2016/6/16,2016-09,7500,put,87,115,87,113,113,83,11,Thursday
2016/6/16,2016-09,7600,call,700,700,635,635,650,13,171,Thursday
2016/6/16,2016-09,7600,put,103,136,103,135,135,144,3197,Thursday
2016/6/16,2016-09,7700,call,0,0,0,0,570,0,0,Thursday
2016/6/16,2016-09,7700,put,120,155,120,155,155,19,11,Thursday
2016/6/16,2016-09,7800,call,505,505,490,490,490,5,232,Thursday
2016/6/16,2016-09,7800,put,145,188,145,174,174,64,2083,Thursday
2016/6/16,2016-09,7900,call,428,428,412,412,412,59,50,Thursday
2016/6/16,2016-09,7900,put,173,197,173,197,197,2,2,Thursday
2016/6/16,2016-09,8e3,call,410,412,347,361,361,146,797,Thursday
2016/6/16,2016-09,8e3,put,200,252,200,245,245,873,1928,Thursday
2016/6/16,2016-09,8100,call,335,335,286,286,286,4,3,Thursday
2016/6/16,2016-09,8100,put,231,291,231,274,274,604,511,Thursday
2016/6/16,2016-09,8200,call,287,287,225,241,241,146,1268,Thursday
2016/6/16,2016-09,8200,put,261,343,261,318,322,946,1340,Thursday
2016/6/16,2016-09,8300,call,0,0,0,0,196,0,0,Thursday
2016/6/16,2016-09,8300,put,324,371,324,371,371,6,2,Thursday
2016/6/16,2016-09,8400,call,182,182,141,152,152,109,2627,Thursday
2016/6/16,2016-09,8400,put,388,452,383,416,436,18,280,Thursday
2016/6/16,2016-09,8500,call,133,133,109,115,115,43,37,Thursday
2016/6/16,2016-09,8500,put,0,0,0,0,499,0,0,Thursday
2016/6/16,2016-09,8600,call,107,110,78,86,86,602,4784,Thursday
2016/6/16,2016-09,8600,put,500,550,500,550,570,2,1589,Thursday
2016/6/16,2016-09,8700,call,83,83,57,59,59,987,865,Thursday
2016/6/16,2016-09,8700,put,0,0,0,0,645,0,0,Thursday
2016/6/16,2016-09,8800,call,58,61,41.5,43.5,43.5,756,4762,Thursday
2016/6/16,2016-09,8800,put,0,0,0,0,725,0,28,Thursday
2016/6/16,2016-09,8900,call,44,44.5,29.5,33.5,33.5,90,50,Thursday
2016/6/16,2016-09,8900,put,0,0,0,0,815,0,0,Thursday
2016/6/16,2016-09,9e3,call,35,35,20,20.5,20.5,825,3928,Thursday
