date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2017/10/24,Dec-17,8700,put,2.1,2.6,2.1,2.6,2.6,149,1744,Tuesday
2017/10/24,Dec-17,8800,put,2.6,3,2.6,3,3,166,24133,Tuesday
2017/10/24,Dec-17,8900,put,3,3.5,3,3.5,3.5,266,889,Tuesday
2017/10/24,Dec-17,9.00E+03,put,3.4,4.1,3.4,4.1,4.1,493,18732,Tuesday
2017/10/24,Dec-17,9100,put,4.1,4.9,4,4.9,4.9,1028,2431,Tuesday
2017/10/24,Dec-17,9200,put,4.8,5.7,4.8,5.5,5.5,625,12545,Tuesday
2017/10/24,Dec-17,9300,put,6.2,7,6.1,6.9,6.9,2858,9891,Tuesday
2017/10/24,Dec-17,9400,put,7.3,8.2,7.3,8.2,8.2,64,17514,Tuesday
2017/10/24,Dec-17,9500,put,8.9,9.9,8.6,9.9,9.9,639,5662,Tuesday
2017/10/24,Dec-17,9600,put,11,11.5,10,11.5,11.5,717,10298,Tuesday
2017/10/24,Dec-17,9700,put,12.5,14.5,12.5,13.5,13.5,271,5591,Tuesday
2017/10/24,Dec-17,9800,call,935,935,935,935,950,1,1021,Tuesday
2017/10/24,Dec-17,9800,put,16,17.5,15,17,17,522,9315,Tuesday
2017/10/24,Dec-17,9900,put,20,21.5,18.5,21.5,21.5,1089,6548,Tuesday
2017/10/24,Dec-17,1.00E+04,call,735,735,735,735,760,4,1560,Tuesday
2017/10/24,Dec-17,1.00E+04,put,25.5,27,23,26.5,26.5,1299,11820,Tuesday
2017/10/24,Dec-17,10100,put,33,35,28,28,32.5,1445,6726,Tuesday
2017/10/24,Dec-17,10200,call,545,580,545,580,580,4,1147,Tuesday
2017/10/24,Dec-17,10200,put,43,45,38.5,43,43,1602,8078,Tuesday
2017/10/24,Dec-17,10300,put,53,58,49,53,53,1390,5200,Tuesday
2017/10/24,Dec-17,10400,call,382,406,382,396,407,16,6662,Tuesday
2017/10/24,Dec-17,10400,put,73,77,66,72,72,353,3513,Tuesday
2017/10/24,Dec-17,10500,call,314,328,303,327,327,35,836,Tuesday
2017/10/24,Dec-17,10500,put,95,100,88,93,93,317,2852,Tuesday
2017/10/24,Dec-17,10600,call,241,259,234,255,255,73,1848,Tuesday
2017/10/24,Dec-17,10600,put,126,132,116,121,121,293,1146,Tuesday
