date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014/9/16,2014-09,6600,put,0.2,0.2,0.2,0.2,0.1,11,7188,Tuesday
2014/9/16,2014-09,6700,call,0,0,0,0,2450,0,0,Tuesday
2014/9/16,2014-09,6700,put,0,0,0,0,0.1,0,57,Tuesday
2014/9/16,2014-09,6800,call,0,0,0,0,2350,0,39,Tuesday
2014/9/16,2014-09,6800,put,0,0,0,0,0.1,0,3495,Tuesday
2014/9/16,2014-09,6900,call,0,0,0,0,2250,0,0,Tuesday
2014/9/16,2014-09,6900,put,0,0,0,0,0.1,0,24,Tuesday
2014/9/16,2014-09,7000,call,0,0,0,0,2150,0,1,Tuesday
2014/9/16,2014-09,7000,put,0,0,0,0,0.1,0,4245,Tuesday
2014/9/16,2014-09,7100,call,0,0,0,0,2050,0,0,Tuesday
2014/9/16,2014-09,7100,put,0,0,0,0,0.1,0,328,Tuesday
2014/9/16,2014-09,7200,call,0,0,0,0,1950,0,2,Tuesday
2014/9/16,2014-09,7200,put,0,0,0,0,0.1,0,6266,Tuesday
2014/9/16,2014-09,7300,call,0,0,0,0,1850,0,0,Tuesday
2014/9/16,2014-09,7300,put,0,0,0,0,0.1,0,363,Tuesday
2014/9/16,2014-09,7400,call,0,0,0,0,1750,0,34,Tuesday
2014/9/16,2014-09,7400,put,0,0,0,0,0.1,0,4078,Tuesday
2014/9/16,2014-09,7500,call,0,0,0,0,1650,0,2,Tuesday
2014/9/16,2014-09,7500,put,0,0,0,0,0.1,0,840,Tuesday
2014/9/16,2014-09,7600,call,0,0,0,0,1550,0,282,Tuesday
2014/9/16,2014-09,7600,put,0,0,0,0,0.1,0,3099,Tuesday
2014/9/16,2014-09,7700,call,0,0,0,0,1450,0,1,Tuesday
2014/9/16,2014-09,7700,put,0,0,0,0,0.1,0,706,Tuesday
2014/9/16,2014-09,7800,call,0,0,0,0,1350,0,233,Tuesday
2014/9/16,2014-09,7800,put,0,0,0,0,0.1,0,3394,Tuesday
2014/9/16,2014-09,7900,call,0,0,0,0,1250,0,5,Tuesday
2014/9/16,2014-09,7900,put,0,0,0,0,0.1,0,3461,Tuesday
2014/9/16,2014-09,8000,call,0,0,0,0,1150,0,199,Tuesday
2014/9/16,2014-09,8000,put,0.1,0.1,0.1,0.1,0.1,70,7316,Tuesday
2014/9/16,2014-09,8100,call,0,0,0,0,1050,0,0,Tuesday
2014/9/16,2014-09,8100,put,0.1,0.2,0.1,0.2,0.1,24,3413,Tuesday
2014/9/16,2014-09,8200,call,0,0,0,0,950,0,768,Tuesday
2014/9/16,2014-09,8200,put,0.1,0.1,0.1,0.1,0.1,41,9664,Tuesday
2014/9/16,2014-09,8300,call,0,0,0,0,850,0,2,Tuesday
2014/9/16,2014-09,8300,put,0.1,0.3,0.1,0.1,0.1,38,8808,Tuesday
2014/9/16,2014-09,8400,call,780,780,750,750,750,2,1528,Tuesday
2014/9/16,2014-09,8400,put,0.1,0.2,0.1,0.2,0.1,200,11834,Tuesday
2014/9/16,2014-09,8500,call,670,670,650,650,650,3,194,Tuesday
2014/9/16,2014-09,8500,put,0.2,0.3,0.1,0.2,0.2,62,10907,Tuesday
2014/9/16,2014-09,8600,call,620,620,550,550,550,3,1412,Tuesday
2014/9/16,2014-09,8600,put,0.2,0.4,0.1,0.2,0.2,44,21909,Tuesday
2014/9/16,2014-09,8700,call,460,460,448,448,453,3,648,Tuesday
2014/9/16,2014-09,8700,put,0.1,0.5,0.1,0.2,0.2,535,18252,Tuesday
2014/9/16,2014-09,8800,call,398,398,345,345,354,48,4836,Tuesday
2014/9/16,2014-09,8800,put,0.1,0.6,0.1,0.5,0.5,1401,28154,Tuesday
2014/9/16,2014-09,8900,call,320,320,249,254,254,67,447,Tuesday
2014/9/16,2014-09,8900,put,0.2,0.8,0.2,0.7,0.7,2664,25286,Tuesday
2014/9/16,2014-09,8950,call,232,240,232,232,204,24,22,Tuesday
